,Fold,Loss,Accuracy
0,1,0.028917005,0.991767585
1,2,0.029301414,0.990817726
2,3,0.051374793,0.986543179
3,4,0.045500413,0.986147404
4,5,0.050405882,0.98432678
5,6,0.027634526,0.991767585
6,7,0.03583293,0.989630342
7,8,0.045521796,0.989234567
8,9,0.033057556,0.99216336
9,10,0.039829001,0.987651408
10,Avg,0.038737532,0.989004993
