,Fold,Loss,Accuracy
0,1.0,0.5602287650108337,0.8881500959396362
1,2.0,0.5598117709159851,0.8904456496238708
2,3.0,0.5572441816329956,0.8921079635620117
3,4.0,0.5570516586303711,0.8945618867874146
4,5.0,0.5566712021827698,0.896619975566864
5,6.0,0.5566768646240234,0.8967782855033875
6,7.0,0.5567415952682495,0.895828366279602
7,8.0,0.5547559261322021,0.9031900763511658
8,9.0,0.5551072955131531,0.9022401571273804
9,10.0,0.5583189725875854,0.8916330337524414
10,Avg,0.5572608232498169,0.8951555490493774
