,Fold,Loss,Accuracy,,
0,1,0.025161618,0.993904829,,
1,2,0.020200165,0.995408833,,
2,3,0.027321465,0.992954969,,
3,4,0.022543058,0.993983984,,
4,5,0.023277648,0.994221509,,
5,6,0.028152769,0.993509054,,
6,7,0.025561089,0.99200505,,
7,8,0.019525329,0.995408833,,
8,9,0.025243439,0.995408833,,
9,10,0.029560475,0.99200505,,
10,Avg,0.024654705,0.993881094,min,0.993881094
,,,,max,0.995408833
