,Fold,Loss,Accuracy,,
0,1,0.028551828,0.992954969,,
1,2,0.017994568,0.995883822,,
2,3,0.026164269,0.994696438,,
3,4,0.027593108,0.992717505,,
4,5,0.035465814,0.991292655,,
5,6,0.016451737,0.995567143,,
6,7,0.030883128,0.99137181,,
7,8,0.023543879,0.993350744,,
8,9,0.021129675,0.994854748,,
9,10,0.027335722,0.994775593,,
10,Avg,0.025511373,0.993746543,min,0.993746543
,,,,max,0.995883822
