,Fold,Loss,Accuracy
0,1.0,0.54122394323349,0.9326367378234863
1,2.0,0.5226757526397705,0.9782316088676453
2,3.0,0.5293589234352112,0.963666558265686
3,4.0,0.5334062576293945,0.9448270201683044
4,5.0,0.5404512882232666,0.9297870397567749
5,6.0,0.5351213812828064,0.9543259739875793
6,7.0,0.5333661437034607,0.9530594348907471
7,8.0,0.5317280888557434,0.9562257528305054
8,9.0,0.5234229564666748,0.9761735200881958
9,10.0,0.5311825275421143,0.9509221911430359
10,Avg,0.5321937263011932,0.953985583782196
