,Fold,Loss,Accuracy
0,1.0,0.5470640063285828,0.9139555096626282
1,2.0,0.5445443987846375,0.9210005402565002
2,3.0,0.532523512840271,0.9561465978622437
3,4.0,0.5296400785446167,0.9616876244544983
4,5.0,0.5452823042869568,0.9171218276023865
5,6.0,0.6931059956550598,0.5216496586799622
6,7.0,0.5379063487052917,0.9360405206680298
7,8.0,0.5516737699508667,0.8997862935066223
8,9.0,0.6166701316833496,0.7246101498603821
9,10.0,0.5361962914466858,0.9428480863571167
10,Avg,0.5634606838226318,0.869484680891037
