,Fold,Loss,Accuracy,,
0,1,0.030244526,0.991767585,,
1,2,0.037479628,0.987097263,,
2,3,0.0196112,0.995487988,,
3,4,0.02640396,0.99248004,,
4,5,0.032043926,0.99200505,,
5,6,0.023313686,0.993904829,,
6,7,0.043791421,0.986780643,,
7,8,0.041975085,0.986938953,,
8,9,0.022174681,0.994300663,,
9,10,0.037793651,0.987968028,,
10,Avg,0.031483176,0.990873104,min,0.986780643
,,,,max,0.995487988
