,Fold,Loss,Accuracy
0,1,0.043327585,0.986938953
1,2,0.035599843,0.99184674
2,3,0.037237152,0.989234567
3,4,0.036200702,0.990501046
4,5,0.026817027,0.993192434
5,6,0.025209218,0.992875814
6,7,0.038245801,0.992400885
7,8,0.028589956,0.991055191
8,9,0.02320886,0.994538128
9,10,0.028013716,0.992954969
10,Avg,0.032244986,0.991553873
