,Fold,Loss,Accuracy
0,1.0,0.5254621505737305,0.9718989729881287
1,2.0,0.5295445322990417,0.9605794548988342
2,3.0,0.5342628955841064,0.9586796760559082
3,4.0,0.5253216624259949,0.9719781279563904
4,5.0,0.5296841859817505,0.9586796760559082
5,6.0,0.5300794243812561,0.9660413265228271
6,7.0,0.529890239238739,0.9573339819908142
7,8.0,0.5325372219085693,0.9614501595497131
8,9.0,0.5300238132476807,0.963112473487854
9,10.0,0.5308526158332825,0.9651705622673035
10,Avg,0.5297658741474152,0.9634924411773682
