,Fold,Loss,Accuracy,,
0,1,0.045162164,0.985197484,,
1,2,0.0598378,0.978389919,,
2,3,0.050704103,0.984564245,,
3,4,0.050942004,0.98480171,,
4,5,0.049303856,0.98416847,,
5,6,0.050564818,0.983614326,,
6,7,0.050278686,0.983218551,,
7,8,0.055291079,0.981635392,,
8,9,0.052308321,0.983376861,,
9,10,0.050508004,0.982743621,,
10,Avg,0.051490083,0.983171058,min,0.978389919
,,,,max,0.985197484
