,Fold,Loss,Accuracy,,
0,1,0.054269079,0.983060241,,
1,2,0.064573906,0.978706539,,
2,3,0.058952749,0.980448008,,
3,4,0.064540513,0.980843842,,
4,5,0.069747247,0.977994144,,
5,6,0.058038052,0.980289698,,
6,7,0.054596547,0.981239617,,
7,8,0.069635682,0.977914989,,
8,9,0.056494389,0.982031167,,
9,10,0.06585715,0.97617352,,
10,Avg,0.061670531,0.979870176,min,0.97617352
,,,,max,0.983060241
