,Fold,Loss,Accuracy
0,1.0,0.021689657121896744,0.9935882091522217
1,2.0,0.03159479424357414,0.9916092753410339
2,3.0,0.024260541424155235,0.9933507442474365
3,4.0,0.021160583943128586,0.9939839839935303
4,5.0,0.026294346898794174,0.9943006634712219
5,6.0,0.023300262168049812,0.9936673641204834
6,7.0,0.025416025891900063,0.9931924343109131
7,8.0,0.030000997707247734,0.9919258952140808
8,9.0,0.02445174567401409,0.9944589734077454
9,10.0,0.016670450568199158,0.9958838224411011
10,Avg,0.024483940564095974,0.9935961365699768
