,Fold,Loss,Accuracy
0,1.0,0.5310758948326111,0.9597878456115723
1,2.0,0.5303911566734314,0.9592337608337402
2,3.0,0.5297081470489502,0.9551966786384583
3,4.0,0.5288119316101074,0.9635082483291626
4,5.0,0.5318865180015564,0.951951265335083
5,6.0,0.5274466276168823,0.9648539423942566
6,7.0,0.5318384170532227,0.9483099579811096
7,8.0,0.528513491153717,0.9646956324577332
8,9.0,0.5325607657432556,0.9608169198036194
9,10.0,0.5311688184738159,0.9608169198036194
10,Avg,0.530340176820755,0.9589171171188354
