,Fold,Loss,Accuracy,,
0,1,0.037917979,0.987255573,,
1,2,0.034723103,0.990184426,,
2,3,0.052451145,0.983218551,,
3,4,0.040289253,0.987651408,,
4,5,0.038232978,0.988759577,,
5,6,0.037732795,0.987888873,,
6,7,0.046575606,0.983297706,,
7,8,0.03401171,0.989313722,,
8,9,0.048678339,0.983218551,,
9,10,0.057256464,0.981477082,,
10,Avg,0.042786937,0.986226547,min,0.981477082
,,,,max,0.990184426
