,Fold,Loss,Accuracy
0,1.0,0.5419626832008362,0.9278081059455872
1,2.0,0.5430850386619568,0.9353281259536743
2,3.0,0.5413071513175964,0.9364362955093384
3,4.0,0.5292100310325623,0.9623209238052368
4,5.0,0.5385275483131409,0.9463310241699219
5,6.0,0.5433365106582642,0.9325575828552246
6,7.0,0.5324169397354126,0.9523470401763916
7,8.0,0.5434907674789429,0.9306578040122986
8,9.0,0.5416273474693298,0.930816113948822
9,10.0,0.5410743951797485,0.9255125522613525
10,Avg,0.539603841304779,0.9380115568637848
