,Fold,Loss,Accuracy
0,1.0,0.03631488233804703,0.9922425150871277
1,2.0,0.032363418489694595,0.9910551905632019
2,3.0,0.02268276736140251,0.9935882091522217
3,4.0,0.031159300357103348,0.9912135004997253
4,5.0,0.029099026694893837,0.9925591945648193
5,6.0,0.029767688363790512,0.9916092753410339
6,7.0,0.026162685826420784,0.9939048290252686
7,8.0,0.04701785370707512,0.9871764183044434
8,9.0,0.03107437863945961,0.9912135004997253
9,10.0,0.06056399643421173,0.9845642447471619
10,Avg,0.03462059982120991,0.9909126877784729
