,Fold,Loss,Accuracy,,
0,1,0.02682675,0.993667364,,
1,2,0.02514475,0.993192434,,
2,3,0.023144742,0.993113279,,
3,4,0.029698508,0.990896881,,
4,5,0.030423217,0.99184674,,
5,6,0.026712641,0.992559195,,
6,7,0.021607919,0.994221509,,
7,8,0.022459263,0.993509054,,
8,9,0.022310931,0.994617283,,
9,10,0.029597994,0.994617283,,
10,Avg,0.025792672,0.993224102,min,0.993224102
,,,,max,0.994617283
